RANK	TITLE									SCORE	MEMBERS
144	Kobayashi-san Chi no Maid Dragon					8.17	391,438
145	Made in Abyss								8.89	391,430
146	InuYasha								7.91	389,550
147	Darling in the FranXX							7.64	386,857
148	Ookami Kodomo no Ame to Yuki						8.76	384,161
149	Nisemonogatari								8.20	383,991
150	Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku		8.28	383,429
151	Kami nomi zo Shiru Sekai						7.87	381,603
152	JoJo no Kimyou na Bouken (TV)						8.40	381,549
153	Great Teacher Onizuka							8.73	381,462
154	School Days								6.00	378,712
155	Bungou Stray Dogs							7.81	376,983
156	Monster									8.68	376,913
157	Shakugan no Shana							7.64	376,201
158	Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!		7.22	375,536
159	Plastic Memories							8.00	375,356
160	Free!									7.57	373,866
161	Kuroko no Basket 2nd Season						8.47	373,368
162	Mahoutsukai no Yome							8.24	370,614
163	Trinity Seven								7.40	369,315
164	Rakudai Kishi no Cavalry						7.74	366,694
165	Hai to Gensou no Grimgar						7.82	366,178
166	Haikyuu!! Second Season							8.86	365,674
167	Akatsuki no Yona							8.18	363,301
168	Vampire Knight								7.29	362,148
169	Fate/stay night: Unlimited Blade Works 2nd Season			8.40	361,760
170	Zetsuen no Tempest							8.10	361,200
171	Blood Lad								7.49	360,948
172	Higashi no Eden								7.94	360,110
173	Ergo Proxy								7.99	358,815
174	IS: Infinite Stratos							7.01	357,710
175	Ao Haru Ride								7.82	356,178
176	Barakamon								8.47	350,061
177	Bakuman.								8.31	350,001
178	Ghost in the Shell							8.34	349,935
179	Katekyo Hitman Reborn!							8.30	347,081
180	Kiznaiver								7.57	345,822
181	Strike the Blood							7.34	345,450
182	Shiki									7.90	343,921
183	High School DxD BorN							7.65	343,605
184	Psycho-Pass 2								7.53	342,918
185	Yamada-kun to 7-nin no Majo						7.83	342,597
186	Suzumiya Haruhi no Shoushitsu						8.72	341,126
187	To LOVE-Ru								7.24	340,289
188	Rokka no Yuusha								7.51	340,209
189	Kotonoha no Niwa							8.24	339,656
190	Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai		7.48	339,565
191	K-On!!									8.14	339,447
192	Aldnoah.Zero								7.56	338,735
193	Hotarubi no Mori e							8.53	336,119
194	Akira									8.16	334,349
195	Amagi Brilliant Park							7.62	333,803
196	Full Metal Panic!							7.74	332,660
197	Nagi no Asu kara							8.23	331,682
198	Owari no Seraph: Nagoya Kessen-hen					7.78	329,766
199	Log Horizon 2nd Season							7.67	329,281
200	Sukitte Ii na yo.							7.66	329,055
201	Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?				7.77	328,532
