RANK	TITLE									SCORE	MEMBERS
594	Kamisama Hajimemashita◎							8.26	151,262
595	Satsuriku no Tenshi							6.92	151,180
596	Kizumonogatari III: Reiketsu-hen					8.86	150,291
597	Kokoro Connect: Michi Random						8.11	150,235
598	Busou Shoujo Machiavellianism						7.13	149,658
599	Kantai Collection: KanColle						7.00	149,590
600	Mobile Suit Gundam 00							8.21	149,363
601	Okusama ga Seitokaichou!						6.83	148,953
602	Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu			7.62	148,894
603	Akagami no Shirayuki-hime 2nd Season					8.12	148,891
604	Mahou Sensou								6.16	147,933
605	Kara no Kyoukai 2: Satsujin Kousatsu (Zen)				7.94	147,553
606	Love Live! School Idol Project 2nd Season				7.97	147,345
607	Black★Rock Shooter (OVA)						7.20	147,301
608	True Tears								7.47	147,239
609	Sakasama no Patema							8.15	147,091
610	Shugo Chara!								7.55	147,044
611	Fuuka									6.72	146,399
612	Black Lagoon: Roberta&amp;#039;s Blood Trail				8.12	146,349
613	D.N.Angel								7.30	146,106
614	Natsume Yuujinchou San							8.64	145,929
615	K: Missing Kings							7.85	145,799
616	Planetes								8.35	145,643
617	Kara no Kyoukai 5: Mujun Rasen						8.62	145,582
618	Ajin 2nd Season								7.88	145,314
619	Naruto: Shippuuden Movie 1						7.40	145,150
620	Tiger &amp;amp; Bunny							8.04	144,874
621	Ryuugajou Nanana no Maizoukin						7.28	144,827
622	Karigurashi no Arrietty							8.05	144,429
623	Seitokai Yakuindomo*							7.81	144,406
624	Sora yori mo Tooi Basho							8.61	144,182
625	Psycho-Pass Movie							7.85	143,740
626	Zero kara Hajimeru Mahou no Sho						7.21	143,356
627	Joker Game								7.12	143,285
628	Just Because!								7.39	142,990
629	Bokusatsu Tenshi Dokuro-chan						6.74	141,948
630	Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie		8.11	141,892
631	Nazo no Kanojo X							7.35	141,535
632	Aoharu x Kikanjuu							7.28	141,486
633	Ranma ½									7.84	141,298
634	Fate/stay night Movie: Unlimited Blade Works				7.52	141,204
635	Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjo...	7.29	140,504
636	InuYasha: Kanketsu-hen							8.32	140,494
637	High School DxD Hero							7.54	140,461
638	Kara no Kyoukai 3: Tsuukaku Zanryuu					8.15	140,349
639	Asu no Yoichi!								6.94	140,242
640	Kumo no Mukou, Yakusoku no Basho					7.73	140,184
641	Kuragehime								8.20	140,134
642	Detroit Metal City							8.21	140,003
643	Karneval								7.29	139,950
644	High School DxD OVA							7.44	139,716
645	Death Billiards								8.00	139,455
646	Myself; Yourself							7.32	139,297
647	Natsume Yuujinchou Shi							8.72	139,018
648	Terra Formars								7.13	138,642
649	Punch Line								7.11	138,468
650	Kokoro ga Sakebitagatterunda.						8.15	138,429
651	Gankutsuou								8.21	138,284
652	Mimi wo Sumaseba							8.29	138,110
653	Seirei no Moribito							8.21	138,029
654	Yuru Camp△								8.32	137,929
655	White Album 2								7.87	137,814
656	Gatchaman Crowds							7.41	137,670
657	Chrome Shelled Regios							7.49	137,656
658	Arcana Famiglia								6.40	137,378
659	Seitokai no Ichizon							7.45	137,294
660	Saenai Heroine no Sodatekata ♭						7.89	136,651
661	SKET Dance								8.32	136,545
662	Nanbaka									7.42	136,385
663	Occultic;Nine								7.04	136,040
664	Jitsu wa Watashi wa							7.06	135,906
665	Ginga Eiyuu Densetsu							9.10	135,718
666	Kuusen Madoushi Kouhosei no Kyoukan					6.58	135,652
667	Princess Lover!								6.95	135,562
668	Trinity Blood								7.40	135,389
669	Mononoke								8.45	134,995
670	Robotics;Notes								7.40	134,836
671	Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru			7.47	134,593
672	Kono Subarashii Sekai ni Shukufuku wo! OVA				7.87	134,185
673	Naruto: Shippuuden Movie 6 - Road to Ninja				7.81	134,172
674	Hajime no Ippo: New Challenger						8.72	134,134
675	One Punch Man Specials							7.85	134,013
676	Tamako Love Story							8.09	133,653
677	Texhnolyze								7.78	133,601
678	Ballroom e Youkoso							8.32	133,491
679	Gintama&amp;#039;: Enchousen						9.06	133,455
680	Kara no Kyoukai 4: Garan no Dou						7.99	133,241
681	Working!!!								8.13	133,142
682	Uta no☆Prince-sama♪ Maji Love 1000%					7.29	133,116
683	.hack//Sign								7.08	133,018
684	Ore ga Ojousama Gakkou ni &amp;quot;Shomin Sample&amp;quot; Toshite ...	7.02	132,711
685	Kono Bijutsubu ni wa Mondai ga Aru!					7.40	132,679
686	Gunslinger Girl								7.50	132,659
687	Owarimonogatari 2nd Season						9.00	132,628
688	Pokemon: Mewtwo no Gyakushuu						7.66	132,378
689	Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen		7.74	132,292
690	Shingeki no Bahamut: Virgin Soul					7.55	132,251
691	Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials			7.55	132,237
692	Tokyo Godfathers							8.31	131,836
693	Yowamushi Pedal								8.10	131,364
694	Imouto sae Ireba Ii.							7.53	131,206
695	Ushio to Tora (TV)							7.66	131,204
696	Naruto: Shippuuden Movie 2 - Kizuna					7.41	130,912
697	Gochuumon wa Usagi desu ka?						7.59	130,906
698	C³									6.78	130,250
699	Dog Days								7.13	130,036
700	Big Order (TV)								5.55	129,858
701	Basilisk: Kouga Ninpou Chou						7.65	129,706
702	Hitsugi no Chaika: Avenging Battle					7.29	129,614
703	Busou Renkin								7.45	129,556
704	Tonari no Seki-kun							7.67	129,452
705	Ladies versus Butlers!							6.79	129,396
706	Kono Naka ni Hitori, Imouto ga Iru!					6.77	129,068
707	Shoujo Shuumatsu Ryokou							8.18	128,863
708	Tenjou Tenge								7.04	128,596
709	Rewrite									6.81	128,478
710	Servamp									7.10	128,397
711	Koi to Senkyo to Chocolate						7.23	128,353
712	Karin									7.27	128,290
713	Minami-ke								7.76	128,034
714	Masou Gakuen HxH							6.42	127,908
715	Devil Survivor 2 The Animation						7.01	127,756
716	Papa no Iukoto wo Kikinasai!						7.44	127,709
717	Kareshi Kanojo no Jijou							7.64	127,670
718	Nabari no Ou								7.39	127,166
719	Mushishi Zoku Shou 2nd Season						8.82	127,096
720	Neon Genesis Evangelion: Death &amp;amp; Rebirth			7.50	126,732
721	Sekaiichi Hatsukoi							8.05	126,700
722	Last Exile								7.89	126,669
723	Asobi ni Iku yo!							6.79	126,535
724	Initial D First Stage							8.29	126,461
725	To LOVE-Ru Darkness 2nd							7.69	126,438
726	Kara no Kyoukai 7: Satsujin Kousatsu (Kou)				8.50	126,265
727	Handa-kun								7.46	126,096
728	Genshiken								7.71	125,890
729	Neko no Ongaeshi							7.93	125,611
730	Love Stage!!								7.60	125,561
731	ef: A Tale of Melodies.							8.11	125,366
732	Mnemosyne: Mnemosyne no Musume-tachi					7.42	125,229
733	Eve no Jikan								8.17	125,129
734	Plastic Neesan								7.35	125,120
735	Hyakka Ryouran: Samurai Girls						6.93	125,058
736	Soul Eater NOT!								6.20	125,032
737	Pokemon: The Origin							7.88	124,931
738	Shinryaku! Ika Musume							7.55	124,930
739	Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!	6.98	124,889
740	Jinrui wa Suitai Shimashita						7.86	124,431
741	New Game!!								7.90	124,248
742	Kaze Tachinu								8.19	124,214
743	Fate/stay night Movie: Heaven&amp;#039;s Feel - I. Presage Flower	8.44	124,162
744	Durarara!! Specials							7.99	124,139
745	Baccano! Specials							8.23	123,963
746	Aoi Bungaku Series							7.83	123,915
747	Yu☆Gi☆Oh!								7.29	123,879
748	Maria†Holic								7.13	123,757
749	Servant x Service							7.77	123,726
750	Higashi no Eden Movie I: The King of Eden				7.69	123,504
751	Digimon Tamers								7.66	123,360
752	One Outs								8.39	123,231
753	Gungrave								7.93	122,976
754	Seikoku no Dragonar							6.70	122,773
755	Slam Dunk								8.54	122,704
756	Tokyo ESP								6.62	122,263
757	Dragon Crisis!								6.85	122,058
758	Kyoukaisenjou no Horizon						7.22	121,724
759	Higurashi no Naku Koro ni Rei						7.52	121,540
760	Shuumatsu no Izetta							6.83	121,446
761	Onegai☆Teacher								7.29	121,348
762	One Piece Film: Strong World						8.31	120,982
763	Tengen Toppa Gurren Lagann Movie 2: Lagann-hen				8.62	120,962
764	Tokyo Ghoul: &amp;quot;Jack&amp;quot;					7.60	120,880
765	Bleach Movie 4: Jigoku-hen						7.71	120,861
766	Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari		8.27	120,664
767	Romeo x Juliet								7.78	120,509
768	Chihayafuru 2								8.47	120,144
769	Gugure! Kokkuri-san							7.66	120,102
770	Kara no Kyoukai 6: Boukyaku Rokuon					7.63	120,069
771	Kakumeiki Valvrave							7.26	119,944
772	Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA			7.63	119,832
773	Strike Witches								7.10	119,322
774	Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari			8.44	119,314
775	Glasslip								5.53	119,282
776	Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita			7.54	119,067
777	Aku no Hana								7.18	118,687
778	Clannad Movie								7.32	118,475
779	Naruto: Shippuuden Movie 4 - The Lost Tower				7.53	117,907
780	Hoshi wo Ou Kodomo							7.70	117,837
781	Sengoku Basara								7.49	117,700
782	Love Lab								7.43	117,650
783	Rail Wars!								6.46	117,577
784	One Piece Film: Z							8.31	117,298
785	Kill la Kill Specials							7.80	117,259
786	Mobile Suit Gundam SEED							7.87	116,915
787	Grisaia no Meikyuu: Caprice no Mayu 0					8.03	116,466
788	GJ-bu									7.43	116,193
789	Another: The Other - Inga						7.43	116,187
790	Utawarerumono								7.73	115,952
791	Fullmetal Alchemist: The Sacred Star of Milos				7.43	115,915
792	Grand Blue								8.41	115,722
793	Diamond no Ace								8.19	115,472
794	Berserk: Ougon Jidai-hen I - Haou no Tamago				7.87	115,230
795	Haiyore! Nyaruko-san W							7.39	115,133
796	Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panikku Datteba...	6.96	115,107
797	Aa! Megami-sama! (TV)							7.42	115,098
798	Hakuouki								7.53	115,096
799	Hoshizora e Kakaru Hashi						6.95	115,044
800	D.Gray-man Hallow							7.90	115,015
801	Cross Ange: Tenshi to Ryuu no Rondo					7.48	114,960
802	Yuru Yuri♪♪								7.92	114,722
803	Fairy Tail Movie 1: Houou no Miko					7.62	114,590
804	Kuroshitsuji: Book of Murder						8.33	114,581
805	Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me			7.48	114,411
806	Kyoukai no Kanata Movie 2: I&amp;#039;ll Be Here - Mirai-hen		8.30	114,230
807	Death Note: Rewrite							7.80	114,127
808	Divine Gate								5.78	113,821
809	Ousama Game The Animation						5.17	113,711
810	Koi wa Ameagari no You ni						7.61	113,548
811	Kiniro Mosaic								7.35	113,484
812	Tsuritama								7.78	113,397
813	Flip Flappers								7.76	113,134
814	Kimi to Boku.								7.80	112,962
815	Noragami Aragoto OVA							8.08	112,935
816	Akaneiro ni Somaru Saka							6.60	112,680
817	Kannagi									7.38	112,653
818	Jormungand: Perfect Order						8.01	112,641
819	Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare			9.02	112,589
820	Rokujouma no Shinryakusha!?						7.28	112,071
821	Seiken no Blacksmith							6.89	112,060
822	Pupa									3.68	112,036
823	Macross F								7.97	111,962
824	Junjou Romantica 2							8.13	111,828
825	Shingetsutan Tsukihime							7.03	111,777
826	School Rumble Ni Gakki							8.11	111,717
827	Midori no Hibi								7.38	111,522
828	Ghost in the Shell 2: Innocence						7.89	111,367
829	Eyeshield 21								8.04	111,347
830	So Ra No Wo To								7.59	111,322
831	Tokyo Ghoul:re 2nd Season						7.01	111,189
832	Tennis no Ouji-sama							8.00	111,036
833	Kobato.									8.05	110,987
834	Poputepipikku								7.34	110,935
835	Fairy Tail OVA								7.74	110,853
836	Hajime no Ippo: Rising							8.66	110,796
837	Shoujo Kakumei Utena							8.21	110,777
838	Isekai no Seikishi Monogatari						8.01	110,342
839	Aoki Hagane no Arpeggio: Ars Nova					7.49	110,162
840	Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono			7.47	109,970
841	Paradise Kiss								7.89	109,863
842	Gantz 2nd Stage								7.21	109,840
843	Seiren									6.37	109,713
844	Yamato Nadeshiko Shichihenge♥						7.85	109,336
845	Subete ga F ni Naru: The Perfect Insider				7.32	109,268
846	High School DxD Specials						7.37	109,221
847	Prince of Stride: Alternative						7.02	108,941
848	Zombie-Loan								7.00	108,910
849	Kanojo ga Flag wo Oraretara						6.57	108,857
850	Yu☆Gi☆Oh!: Duel Monsters GX						7.23	108,851
851	Grancrest Senki								7.27	108,690
852	Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai		8.32	108,652
853	DearS									6.73	108,559
854	Freezing Vibration							7.00	108,461
855	Hoshi no Koe								7.37	108,298
856	Michiko to Hatchin							7.88	108,281
857	Denpa-teki na Kanojo							7.68	107,995
858	Little Witch Academia: Mahoujikake no Parade				7.88	107,886
859	Ikkitousen								6.56	107,686
860	Mobile Suit Gundam: Iron-Blooded Orphans				8.01	107,588
861	Kimi ga Nozomu Eien							7.34	107,535
862	Uchouten Kazoku								7.94	107,414
863	Naruto: Shippuuden Movie 5 - Blood Prison				7.60	107,317
864	Needless								7.37	107,302
865	Chuunibyou demo Koi ga Shitai!: Kirameki no... Slapstick Noel		7.57	107,113
866	The iDOLM@STER								7.70	106,860
867	Knight&amp;#039;s &amp;amp; Magic					7.30	106,855
868	Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu		7.95	106,739
869	Nourin									6.93	106,689
870	To LOVE-Ru OVA								7.45	106,572
871	Yumekui Merry								7.03	106,562
872	UN-GO									7.47	106,527
873	3-gatsu no Lion 2nd Season						9.06	106,478
874	Mobile Suit Gundam Wing							7.83	106,154
875	Selector Infected WIXOSS						7.35	106,140
876	Arakawa Under the Bridge x Bridge					7.81	106,092
877	Bokurano								7.74	106,027
878	Carnival Phantasm							7.97	105,892
879	Higashi no Eden Movie II: Paradise Lost					7.72	105,854
880	Brave 10								6.91	105,791
881	Dantalian no Shoka							7.31	105,745
882	Persona 5 the Animation							6.80	105,673
883	Berserk: Ougon Jidai-hen III - Kourin					8.30	105,666
884	Kurenai no Buta								8.03	105,531
885	Re:␣Hamatora								7.48	105,491
886	Mobile Suit Gundam 00 Second Season					8.17	105,419
887	Casshern Sins								7.58	105,145
888	DRAMAtical Murder							6.27	104,998
889	Uchuu Kyoudai								8.55	104,814
890	Nijiiro Days								7.49	104,773
891	Choujigen Game Neptune The Animation					7.13	104,760
892	Hibike! Euphonium 2							8.29	104,610
893	Tada-kun wa Koi wo Shinai						7.60	104,582
894	Jigoku Shoujo Futakomori						8.03	104,569
895	Omoide no Marnie							8.25	104,503
896	Saikin, Imouto no Yousu ga Chotto Okashiinda ga.			6.40	104,484
897	Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no ...	7.62	104,470
898	Tari Tari								7.39	104,322
899	Berserk: Ougon Jidai-hen II - Doldrey Kouryaku				8.05	103,891
900	Junketsu no Maria							7.23	103,776
901	Tenkuu no Escaflowne							7.77	103,704
902	Mashiro-iro Symphony: The Color of Lovers				7.24	103,659
903	Koyomimonogatari							7.77	103,654
904	Kyousou Giga (TV)							7.88	103,390
905	Gintama.								9.00	103,061
906	Princess Principal							7.71	103,041
907	Girls Bravo: First Season						6.60	102,964
908	Osomatsu-san								8.15	102,951
909	Pokemon: Maboroshi no Pokemon Lugia Bakutan				7.45	102,624
910	Nurarihyon no Mago: Sennen Makyou					8.10	102,592
911	Tensei shitara Slime Datta Ken						8.18	102,359
912	Fairy Tail: Final Series						8.35	102,035
913	Boku no Kanojo ga Majimesugiru Sho-bitch na Ken				6.45	102,026
914	B: The Beginning							7.62	101,874
915	Dragon Ball Z Movie 14: Kami to Kami					7.56	101,765
916	Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero		8.33	101,658
917	Loveless								7.09	101,412
918	Himouto! Umaru-chan R							7.49	101,351
919	Ao no Kanata no Four Rhythm						6.85	101,309
920	Brothers Conflict							6.50	101,109
921	Saint Seiya								7.95	101,077
922	Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu n...	8.16	100,859
923	ReLIFE: Kanketsu-hen							8.31	100,570
924	Little Busters!: Refrain						8.31	100,182
925	Aria The Animation							7.75	100,078
926	Date A Live: Date to Date						7.50	99,537
927	Dennou Coil								8.14	99,467
928	Seihou Bukyou Outlaw Star						7.95	99,370
929	Mahou Sensei Negima!							7.07	99,358
930	Non Non Biyori Repeat							8.22	99,249
931	Joukamachi no Dandelion							7.30	99,088
932	Bounen no Xamdou							7.76	98,996
933	Amagami SS+ Plus							7.55	98,840
934	Digimon Frontier							7.24	98,823
935	Isekai Shokudou								7.39	98,815
936	Tengen Toppa Gurren Lagann Movie 1: Gurren-hen				8.22	98,485
937	Clockwork Planet							6.58	98,399
938	Heavy Object								7.37	98,322
939	Nogizaka Haruka no Himitsu						7.31	98,280
940	Deadman Wonderland: Akai Knife Tsukai					7.07	98,199
941	Senjou no Valkyria							7.70	98,097
942	Lucky☆Star: Original na Visual to Animation				7.88	97,905
943	Shinreigari: Ghost Hound						7.53	97,870
944	Kokkoku									7.18	97,771
945	Princess Tutu								8.21	97,670
946	Astarotte no Omocha!							6.74	97,667
947	Sabage-bu!								7.44	97,568
948	Ore, Twintail ni Narimasu.						6.68	97,098
949	Code Geass: Fukkatsu no Lelouch						N/A	96,913
950	Tokyo Ghoul: &amp;quot;Pinto&amp;quot;					7.50	96,741
951	Samurai Flamenco							6.96	96,653
952	Sekai Seifuku: Bouryaku no Zvezda					7.15	96,549
953	Kino no Tabi: The Beautiful World - The Animated Series			7.61	96,537
954	No Game No Life Specials						6.80	96,507
955	Toradora!: Bentou no Gokui						7.52	96,408
956	Kujira no Kora wa Sajou ni Utau						7.33	96,356
957	Evangelion: 3.0+1.0							N/A	96,353
958	Qualidea Code								6.64	96,305
959	Pokemon: Kesshoutou no Teiou Entei					7.16	96,173
960	Denpa Kyoushi								6.98	96,037
961	Mayoi Neko Overrun!							6.82	96,028
962	Shinrei Tantei Yakumo							7.43	95,859
963	Saiki Kusuo no Ψ-nan 2							8.67	95,596
964	Itsuka Tenma no Kuro Usagi						6.75	95,569
965	Final Fantasy VII: Advent Children Complete				8.07	95,356
966	Kore wa Zombie Desu ka? OVA						7.51	95,344
967	Colorful (Movie)							7.97	95,039
968	Mahou Shoujo Ikusei Keikaku						7.11	95,025
969	Ore no Imouto ga Konnani Kawaii Wake ga Nai. Specials			6.54	94,706
970	Beatless								6.21	94,418
971	Uchuu Patrol Luluco							7.69	94,235
972	Yozakura Quartet							6.91	94,198
973	Inari, Konkon, Koi Iroha.						7.27	94,084
974	Pokemon Advanced Generation						7.18	94,052
975	Green Green								6.35	93,658
976	Love Live! Sunshine!!							7.53	93,638
977	Garo: Honoo no Kokuin							7.49	93,287
978	Sekaiichi Hatsukoi 2							8.21	93,114
979	Isuca									6.15	93,094
980	Slayers									7.84	93,008
981	Tales of the Abyss							7.41	92,926
982	xxxHOLiC Kei								8.30	92,738
983	Fullmetal Alchemist: Brotherhood Specials				8.10	92,701
984	Blade &amp;amp; Soul							6.19	92,625
985	Sora no Otoshimono: Tokeijikake no Angeloid				7.76	92,477
986	Juuou Mujin no Fafnir							6.42	92,412
987	Hyouka: Motsubeki Mono wa						7.40	92,297
988	Yuuki Yuuna wa Yuusha de Aru						7.46	92,229
989	Gin no Saji 2nd Season							8.33	92,001
990	Nisekoi OVA								7.51	91,911
991	Medaka Box Abnormal							7.56	91,756
992	Boku no Hero Academia the Movie: Futari no Hero				8.31	91,602
993	Vampire Hunter D (2000)							7.92	91,481
994	Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen	7.54	91,477
995	Kimi no Iru Machi							7.10	91,457
996	Coppelion								6.54	91,443
997	Tsubasa Chronicle 2nd Season						7.68	91,385
998	Akikan!									6.32	91,259
999	Bishoujo Senshi Sailor Moon R						7.75	91,098
1000	Strawberry Panic							7.40	91,084
